"","Municipio","MUESTRA","UBICACIÓN","MUESTREO","GEOREFERENCIACIÓN","ÁREA.GEOGRAFICA","ANÁLISIS.EFECTUADO","SECTOR.AMBIENTAL","RESULTADOS","Picloram","Metomilo","Imazapir","Imidacloprid","Dimetoato","Atz-OH","Atz-desisopropil","Imazetapir","Imazapic","Pirimicarb","Aldicarb","Atz-desetil","Metsulfurón.Metil","Imazaquin","Alaclor","Diclorvos","Carbofuran","Metribuzin","Diclosulam","Carbaril","Metalaxil","Ametrina","Atrazina","Hidroxiatrazina","DEET","Flumioxazin","Paratión.metil","Fomesafen","Clorimurón.etil","Malatión","Epoxiconazol","Azoxystrobina","Triticonazol","Flurocloridona","Metolaclor","Acetoclor","Acetamiprid","Clorpirifos-Metil","Metconazol","Kresoxim.metil","Tebuconazol","Pirimifos.metil","Diazinon","Piperonil.butóxido","Clorpirifos","Tetrametrina","Aletrina","Pendimentalin","Dicamba","Fipronil","2,4-DB","2,4-D","Halauxifen-M","Glifosato","AMPA","Glufosinato","POCs","y-HCH","β-HCH","y-Chlordane","α-Chlordane","Endosulfán","α-Endosulfan","β-Endosulfan","Endosulfán.sulfato","p,p’-DDT","p,p’-DDE","p,p.́-DDD","Aldrin","Dieldrin","Eldrin","Heptacloro","Heptacloro.epóxido","Fluorocloridona","Dietil-toluamida","FECHA","LABORATORIO","INVESTIGADOR/A","SOLICITANTE.DEL.ESTUDIO","RESULTADOS","INFORME.|.PAPER","CITA.PAPER","COMENTARIO"
"11","Lobos","26.0","Campo camino a Uribelarrea (Pdo. de Lobos)","N°2 (PRIMAVERA/VERANO)","-35.1547495,-58.9838841","Zona rural","Plaguicidas de uso actual","Agua de Pozo","-------------------->",NA,NA,NA,"<0,0009  (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,0006 (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,15 (µg/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-19","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1UFmcnbR-wDph6HOtT47m8huwsi1PoJxK/view","https://drive.google.com/file/d/1kgf8boohTKyH9GuDH8rThXn1yPY6O_E2/view",NA,NA
"12","Lobos","27.0","Campo camino a Uribelarrea (Pdo. de Lobos)","N°2 (PRIMAVERA/VERANO)","-35.1547495,-58.9838841","Zona rural","Arsénico","Suelo","-------------------->",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26,9 (µg/Kg) ",NA,"<0,8 (µg/Kg)","9,2 (µg/Kg)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-19","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1UFmcnbR-wDph6HOtT47m8huwsi1PoJxK/view","https://drive.google.com/file/d/1kgf8boohTKyH9GuDH8rThXn1yPY6O_E2/view",NA,NA
"13","Lobos","24.0","Campo Chacras-Zapiola (Pdo. de Lobos)","N°2 (PRIMAVERA/VERANO)","-35.142222, -59.080000","Zona periurbana","Plaguicidas de uso actual","Agua de Pozo","-------------------->",NA,NA,NA,"<0,0009  (µg/L)  ",NA,"0,006 (µg/L)    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,002 (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,052 (µg/L) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-19","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1UFmcnbR-wDph6HOtT47m8huwsi1PoJxK/view","https://drive.google.com/file/d/1kgf8boohTKyH9GuDH8rThXn1yPY6O_E2/view",NA,NA
"14","Lobos","4.0","Canal debajo del puente de la vía ( camino a Salvador María)","N°1 (INVIERNO/OTOÑO)","-35.28027335105573, -59.14560390185598","Zona periurbana","Plaguicidas de uso actual","Agua Superficial","-------------------->",NA,NA,NA,NA,NA,"0,158 (µg/L)    ","0,045 (µg/L)    ",NA,NA,NA,NA,"0,069 (µg/L)    ",NA,NA,"0,031 (µg/L)    ",NA,NA,NA,NA,NA,NA,"0,043 (µg/L)  ","1,280 (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,004 (µg/L)  ",NA,NA,NA,NA,NA,"0,005(µg/L)",NA,NA,"<0,0025 (µg/L)","<0,011 (µg/L)",NA,NA,NA,"<0,09 (µg/L)",NA,"0,016 (µg/L)","0,141 (µg/L)",NA,"<0,1 (µg/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-04-17","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1V76nq5XoqFoi7sS-b62AUHE5FkxKtvxx/view","https://drive.google.com/file/d/1fg-fW1rVevCIQGtXdC2gYsQZEWi9Lj0T/view",NA,NA
"15","Lobos","5.0","Canal debajo del puente de la vía ( camino a Salvador María)","N°1 (INVIERNO/OTOÑO)","-35.28027335105573, -59.14560390185598","Zona periurbana","Plaguicidas de uso actual","Sedimentos","-------------------->",NA,NA,NA,NA,NA,"9 (µg/Kg)    ",NA,NA,NA," <0,4 (µg/Kg)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,7 (µg/Kg)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<1,6 (µg/Kg)  ",NA,NA,NA,NA,NA,NA,NA,NA,"29 (µg/Kg)",NA,NA,NA,NA,NA,NA,"80,1 (µg/Kg)",NA,"62,5  (µg/Kg)","58  (µg/Kg)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-04-17","EEA INTA BALCARCE","Dra. Virginia Aparicio","A.P.A.L (Organizaciones socioambientales de Lobos nucleadas)","https://drive.google.com/file/d/1V76nq5XoqFoi7sS-b62AUHE5FkxKtvxx/view","https://drive.google.com/file/d/1fg-fW1rVevCIQGtXdC2gYsQZEWi9Lj0T/view",NA,NA
"16","Baradero","4.0","Colonia Suiza","UNICO","-33.797325318995945, -59.524667299210456","Zona periurbana","Plaguicidas de uso actual","Agua de Pozo","-------------------->",NA,NA,NA,"<0,008 (µg/L)                    
",NA,"<0,009 (µg/L)     ",NA,"<0,004  (µg/L)   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,004 (µg/L)   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,088 (µg/L)  ","<0,008  (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/22/2022","EEA INTA BALCARCE","Dra. Virginia Aparicio","R.E.L.E.A (En conjunto con otras organizaciones socioambientales de Baradero)","https://drive.google.com/file/d/1n33E9iRAztiCsW48d3XPgU22qKDIPFsh/view","https://drive.google.com/file/d/1fg5Eyb6R-RzPOap4kF5pa1fCfh7-c48x/view",NA,NA
"17","Baradero","5.0","El Pampa 1","UNICO","-33.81194262702778, -59.56657984617977","Zona rural","Plaguicidas de uso actual","Agua de Pozo","-------------------->",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,075 (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/22/2022","EEA INTA BALCARCE","Dra. Virginia Aparicio","R.E.L.E.A (En conjunto con otras organizaciones socioambientales de Baradero)","https://drive.google.com/file/d/1n33E9iRAztiCsW48d3XPgU22qKDIPFsh/view","https://drive.google.com/file/d/1fg5Eyb6R-RzPOap4kF5pa1fCfh7-c48x/view",NA,"Muestra tomada dentro del Municipio de Baradero.  Georreferenciación estimada, ubicación pendiente de verificación."
"18","Baradero","6.0","El Pampa 2","UNICO","-33.83670272549346, -59.494109819411165","Zona rural","Plaguicidas de uso actual","Agua de Pozo","-------------------->",NA,NA,NA,NA,NA,"<0,009 (µg/L)     ",NA,NA,NA,NA,NA,"<0,002(µg/L)   ",NA,"<0,001 (µg/L)  ",NA,NA,NA,"<0,007 (µg/L)  ","0,025 (µg/L)  ",NA,"<0,004 (µg/L)   ",NA,"<0,004 (µg/L)   ",NA,NA,NA,NA,NA,NA,NA,"<0,002 (µg/L)  ",NA,NA,"<0,006 (µg/L)  ","0,062 (µg/L)  ","<0,008  (µg/L)  ",NA,NA,NA,"<0,002  (µg/L)  ",NA,NA,NA,NA,"<0,011 (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/22/2022","EEA INTA BALCARCE","Dra. Virginia Aparicio","R.E.L.E.A (En conjunto con otras organizaciones socioambientales de Baradero)","https://drive.google.com/file/d/1n33E9iRAztiCsW48d3XPgU22qKDIPFsh/view","https://drive.google.com/file/d/1fg5Eyb6R-RzPOap4kF5pa1fCfh7-c48x/view",NA,"Muestra tomada dentro del Municipio de Baradero.  Georreferenciación estimada, ubicación pendiente de verificación."
"19","Baradero","7.0","Chimpay ","UNICO","-33.39932781730574, -60.22565167472114","Zona rural","Plaguicidas de uso actual","Agua de Pozo","-------------------->",NA,NA,NA,NA,NA,"<0,009 (µg/L)     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0,004 (µg/L)   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,023 (µg/L)  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/22/2022","EEA INTA BALCARCE","Dra. Virginia Aparicio","R.E.L.E.A (En conjunto con otras organizaciones socioambientales de Baradero)","https://drive.google.com/file/d/1n33E9iRAztiCsW48d3XPgU22qKDIPFsh/view","https://drive.google.com/file/d/1fg5Eyb6R-RzPOap4kF5pa1fCfh7-c48x/view",NA,"Muestra tomada dentro del Municipio de Baradero.  Georreferenciación estimada, ubicación pendiente de verificación."
"20","La Matanza (Nicole)","-","Barrio Nicole","No corresponde","-34.793930523539416, -58.65704332105796","Zona urbana","Plaguicidas de uso actual","Agua de Pozo","-------------------->",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,5  (µg/L) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023.0",NA,NA,"Asamblea de Autoconvocados contra los Agrotóxicos de La Matanza","https://drive.google.com/file/d/1Qu7DiqakzlVOJX_Pe-fxduUR0MpBQJAr/view",NA,NA,NA
